fileId,fileUrls for custom selected,size
8454980009,/archive/allData/61/MOD021KM/2024/254/MOD021KM.A2024254.1525.061.2024255012728.hdf,170445399
8454980010,/archive/allData/61/MOD021KM/2024/254/MOD021KM.A2024254.1705.061.2024255012718.hdf,167678411
8454985631,/archive/allData/61/MOD021KM/2024/254/MOD021KM.A2024254.1520.061.2024255013041.hdf,169943683
8454985636,/archive/allData/61/MOD021KM/2024/254/MOD021KM.A2024254.1700.061.2024255013010.hdf,166602415
8457811816,/archive/allData/61/MOD021KM/2024/255/MOD021KM.A2024255.1425.061.2024256012856.hdf,173221460
8457813643,/archive/allData/61/MOD021KM/2024/255/MOD021KM.A2024255.1420.061.2024256012945.hdf,173131987
8460345659,/archive/allData/61/MOD021KM/2024/256/MOD021KM.A2024256.1645.061.2024257013517.hdf,171031586
8460347794,/archive/allData/61/MOD021KM/2024/256/MOD021KM.A2024256.1505.061.2024257013543.hdf,174181810
8460347796,/archive/allData/61/MOD021KM/2024/256/MOD021KM.A2024256.1640.061.2024257013602.hdf,164537425
8460349691,/archive/allData/61/MOD021KM/2024/256/MOD021KM.A2024256.1500.061.2024257013638.hdf,168360987
8462839067,/archive/allData/61/MOD021KM/2024/255/MOD021KM.A2024255.1605.061.2024258013147.hdf,172015148
8462840949,/archive/allData/61/MOD021KM/2024/257/MOD021KM.A2024257.1410.061.2024258013258.hdf,171672951
8462840950,/archive/allData/61/MOD021KM/2024/257/MOD021KM.A2024257.1545.061.2024258013305.hdf,173934833
8462840952,/archive/allData/61/MOD021KM/2024/257/MOD021KM.A2024257.1720.061.2024258013305.hdf,163761855
8462841721,/archive/allData/61/MOD021KM/2024/257/MOD021KM.A2024257.1405.061.2024258013311.hdf,177929407
8462843577,/archive/allData/61/MOD021KM/2024/257/MOD021KM.A2024257.1540.061.2024258013510.hdf,164546654
8462976059,/archive/allData/61/MOD021KM/2024/255/MOD021KM.A2024255.1600.061.2024258031543.hdf,162603550
8465063851,/archive/allData/61/MOD021KM/2024/258/MOD021KM.A2024258.1450.061.2024259035901.hdf,173013644
8465065200,/archive/allData/61/MOD021KM/2024/258/MOD021KM.A2024258.1445.061.2024259040021.hdf,171262864
8465098968,/archive/allData/61/MOD021KM/2024/258/MOD021KM.A2024258.1625.061.2024259042848.hdf,172957371
8465099338,/archive/allData/61/MOD021KM/2024/258/MOD021KM.A2024258.1620.061.2024259042911.hdf,167806383
